"Douglass_narrative" "EK_adrift" "EK_ourVisit" "EK_suppressed" "freedman_body1" "freedman_body2" "freedman_intro1" "freedman_intro2" "TWH_denmark" "TWH_gabriel" "TWH_leaves" "TWH_natTurner"
"being" 0.151893240750787 0.154405854731588 0.0386697602474865 0.0760043431053203 0.083559640693545 0.0949667616334283 0.110987791342952 0 0.179581574930412 0.114569409967539 0.104931794333683 0.139380293770773
"old" 0.157317999349029 0.156521003426541 0.128899200824955 0 0.135784416127011 0.284900284900285 0.110987791342952 0 0.0179581574930412 0.0190949016612564 0.104931794333683 0.0643293663557414
"every" 0.165455137246393 0.099411988662803 0.206238721319928 0.0325732899022801 0.104449550866931 0.0854700854700855 0.221975582685905 0.0705218617771509 0.170602496183892 0.114569409967539 0.0174886323889472 0.246595904363675
"she" 0.241401757621786 0.173442192986167 0 0 0.135784416127011 0.0759734093067426 0 0 0.00897907874652061 0 0 0.0643293663557414
"slave" 0.3200607572963 0.0148060408646728 0 0.0325732899022801 0.177564236473783 0.0854700854700855 0.221975582685905 0 0.116728023704768 0.171854114951308 0.0174886323889472 0.182266538007934
"now" 0.176304654442877 0.0613393121536444 0.180458881154937 0.217155266015201 0.104449550866931 0.180436847103514 0.110987791342952 0.0705218617771509 0.044895393732603 0.133664311628795 0.12242042672263 0.117937171652193
"again" 0.0976456547683628 0.192478531240746 0.103119360659964 0.0760043431053203 0.114894505953624 0.180436847103514 0 0.0705218617771509 0.044895393732603 0 0.0174886323889472 0.0857724884743219
"day" 0.119344689161332 0.105757434747663 0.0902294405774684 0.0651465798045603 0.177564236473783 0.161443494776828 0 0.0705218617771509 0.0897907874652061 0.210043918273821 0.174886323889472 0.139380293770773
"where" 0.0895085168709992 0.173442192986167 0.025779840164991 0.0217155266015201 0.146229371213704 0.227920227920228 0 0.317348377997179 0.0359163149860824 0 0.0524658971668416 0.139380293770773
"way" 0.0813713789736357 0.184017936460933 0.154679040989946 0.162866449511401 0.135784416127011 0.0949667616334283 0 0.141043723554302 0.0269372362395618 0 0.104931794333683 0.0321646831778707
"such" 0.168167516545514 0.0507635686788781 0.193348801237432 0.11943539630836 0.114894505953624 0.0474833808167142 0.110987791342952 0.176304654442877 0.15264433869085 0.133664311628795 0.174886323889472 0.139380293770773
"white" 0.103070413366605 0.133254367782055 0.0644496004124774 0.0325732899022801 0.083559640693545 0.0474833808167142 0.110987791342952 0 0.15264433869085 0.0572847049837693 0.314795383001049 0.214431221185805
"back" 0.0623847238797874 0.209399720800372 0.051559680329982 0.0542888165038002 0.177564236473783 0.161443494776828 0 0.105782792665726 0.00897907874652061 0.0190949016612564 0 0.0428862442371609
"while" 0.119344689161332 0.162866449511401 0.0386697602474865 0.0325732899022801 0.125339461040318 0.123456790123457 0 0.105782792665726 0.0628535512256442 0.0763796066450258 0.0874431619447359 0.0321646831778707
"most" 0.235976999023543 0.0486484199839249 0.0128899200824955 0.1085776330076 0.0626697305201588 0.0664767331433998 0.332963374028857 0 0.116728023704768 0.0763796066450258 0.12242042672263 0.128658732711483
"many" 0.0976456547683628 0.0803756504082237 0.0902294405774684 0.0651465798045603 0.135784416127011 0.123456790123457 0 0.246826516220028 0.197539732423453 0.190949016612564 0.104931794333683 0.150101854830063
"first" 0.103070413366605 0.0867210964930835 0.0773395204949729 0.11943539630836 0.104449550866931 0.123456790123457 0 0.141043723554302 0.170602496183892 0.0763796066450258 0.227352221056313 0.117937171652193
"great" 0.116632309862211 0.114218029527476 0.0902294405774684 0.0760043431053203 0.114894505953624 0.0664767331433998 0.221975582685905 0 0.0897907874652061 0.0763796066450258 0.227352221056313 0.128658732711483
"over" 0.0759466203753933 0.17555734168112 0.0773395204949729 0.1085776330076 0.104449550866931 0.0284900284900285 0.110987791342952 0.105782792665726 0.0628535512256442 0.0572847049837693 0.0699545295557887 0.0964940495336121
"come" 0.0867961375718781 0.120563475612336 0.154679040989946 0.195439739413681 0.135784416127011 0.189933523266857 0.443951165371809 0.0705218617771509 0.0179581574930412 0.0190949016612564 0.0524658971668416 0.0214431221185805
"much" 0.108495171964848 0.129024070392149 0.103119360659964 0.1085776330076 0.083559640693545 0.0854700854700855 0 0 0.116728023704768 0.0954745083062822 0.139909059111577 0.0428862442371609
"without" 0.130194206357817 0.0676847582385042 0.116009280742459 0.206297502714441 0.208899101733863 0.0664767331433998 0.221975582685905 0.0705218617771509 0.0987698662117267 0.0763796066450258 0.0349772647778944 0.0964940495336121
"road" 0.0108495171964848 0.304581412073269 0 0 0.0522247754334656 0.0379867046533713 0 0.105782792665726 0.00897907874652061 0 0 0.0107215610592902
"well" 0.132906585656938 0.105757434747663 0.154679040989946 0.152008686210641 0.0940045957802381 0.0854700854700855 0.110987791342952 0 0.0628535512256442 0.0763796066450258 0.0524658971668416 0.0428862442371609
"get" 0.143756102853423 0.107872583442616 0.0128899200824955 0.0977198697068404 0.114894505953624 0.180436847103514 0 0.0705218617771509 0.0179581574930412 0.0572847049837693 0 0.0536078052964512
"place" 0.0840837582727569 0.118448326917382 0.0128899200824955 0.01085776330076 0.135784416127011 0.123456790123457 0 0.246826516220028 0.125707102451288 0.0572847049837693 0.0349772647778944 0.150101854830063
"near" 0.0515352066833026 0.192478531240746 0.025779840164991 0.0217155266015201 0.114894505953624 0.0664767331433998 0 0.282087447108604 0.044895393732603 0.0381898033225129 0.0349772647778944 0.0536078052964512
"might" 0.103070413366605 0.118448326917382 0.0773395204949729 0.0760043431053203 0.0522247754334656 0.0284900284900285 0 0.0352609308885755 0.125707102451288 0.114569409967539 0.0524658971668416 0.128658732711483
"saw" 0.0596723445806662 0.179787639071027 0.0644496004124774 0.0217155266015201 0.0731146856068519 0.113960113960114 0 0.211565585331453 0.00897907874652061 0 0.0349772647778944 0.0857724884743219
"night" 0.0678094824780297 0.114218029527476 0.051559680329982 0 0.135784416127011 0.123456790123457 0.110987791342952 0.0705218617771509 0.0538744724791236 0.0381898033225129 0.227352221056313 0.171544976948644
"negroes" 0.00542475859824238 0.18190278776598 0.025779840164991 0 0 0 0 0.246826516220028 0.188560653676933 0.286423524918847 0.0349772647778944 0.139380293770773
"found" 0.119344689161332 0.09095139388299 0.0386697602474865 0.01085776330076 0.0522247754334656 0.113960113960114 0 0.211565585331453 0.0628535512256442 0.133664311628795 0.0349772647778944 0.182266538007934
"away" 0.0813713789736357 0.145945259951775 0.0128899200824955 0 0.250678922080635 0.113960113960114 0 0.141043723554302 0.00897907874652061 0.0381898033225129 0.0174886323889472 0.0214431221185805
"good" 0.0922208961701204 0.143830111256821 0.103119360659964 0.0651465798045603 0.083559640693545 0.0759734093067426 0 0.0352609308885755 0.0359163149860824 0.0381898033225129 0.0874431619447359 0.0107215610592902
"thought" 0.0813713789736357 0.164981598206354 0.0386697602474865 0.0434310532030402 0.125339461040318 0.0664767331433998 0 0.0352609308885755 0.044895393732603 0.0190949016612564 0.0524658971668416 0
"know" 0.0786589996745145 0.0613393121536444 0.283578241814901 0.162866449511401 0.0626697305201588 0.104463437796771 0.332963374028857 0 0.0628535512256442 0.0572847049837693 0.157397691500525 0.0750509274150316
"through" 0.0596723445806662 0.152290706036634 0.0386697602474865 0.0542888165038002 0.0208899101733863 0.0949667616334283 0 0.0352609308885755 0.0538744724791236 0.0381898033225129 0.0699545295557887 0.139380293770773
"people" 0.0461104480850602 0.0359575278142053 0.412477442639856 0.141150922909881 0.104449550866931 0.0854700854700855 0.110987791342952 0.0352609308885755 0.0987698662117267 0.0763796066450258 0.244840853445261 0.107215610592902
"own" 0.149180861451665 0.0211514869495326 0.025779840164991 0.1085776330076 0.135784416127011 0.0759734093067426 0.221975582685905 0.0705218617771509 0.188560653676933 0.0190949016612564 0.157397691500525 0.0536078052964512
"like" 0.0786589996745145 0.0972968399678497 0.103119360659964 0.0651465798045603 0.104449550866931 0.123456790123457 0.110987791342952 0.0705218617771509 0.00897907874652061 0.114569409967539 0.174886323889472 0.0536078052964512
"three" 0.0840837582727569 0.0846059477981302 0.0386697602474865 0.0325732899022801 0.0731146856068519 0.1329534662868 0 0.105782792665726 0.044895393732603 0.210043918273821 0.139909059111577 0.128658732711483
"took" 0.0867961375718781 0.0930665425779432 0.0773395204949729 0.0760043431053203 0.135784416127011 0.142450142450142 0 0.0352609308885755 0.0538744724791236 0.0381898033225129 0.0174886323889472 0.0964940495336121
"under" 0.0867961375718781 0.0846059477981302 0.025779840164991 0.0651465798045603 0.0731146856068519 0.056980056980057 0 0.176304654442877 0.15264433869085 0.0954745083062822 0 0.171544976948644
"its" 0.0840837582727569 0.107872583442616 0.025779840164991 0.0868621064060803 0.0208899101733863 0.0664767331433998 0.443951165371809 0 0.0718326299721649 0.229138819935077 0.0349772647778944 0.0857724884743219
"life" 0.238689378322665 0.016921189559626 0.0386697602474865 0.0434310532030402 0.083559640693545 0.0189933523266857 0.332963374028857 0 0.0359163149860824 0.0572847049837693 0.0524658971668416 0.0964940495336121
