"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"the" 6.30525825965565 5.46532611497809 4.9185667752443 4.81512429496553 5.18518518518519 8.21309655937847 7.19322990126939 7.49753075334471 7.38972694290624 5.33403287862889 6.59376005146349
"and" 4.49257582808071 3.7251869038412 2.83387622149837 3.84374347190307 4.09306742640076 3.66259711431743 3.52609308885755 3.60958965610128 2.95970975749475 3.25288562434418 3.37729173367642
"to" 2.91890519903549 2.87445217839649 4.22366992399566 3.40505535826196 3.42830009496676 2.5527192008879 4.23131170662905 2.9630959863518 2.8069505442047 2.4833857992305 2.65894714270398
"of" 2.47260882440036 2.59087393658159 2.23669923995657 2.18299561311886 1.97530864197531 4.43951165371809 3.13822284908322 3.79815030977822 4.96467443192668 2.83315844700944 3.54883671062507
"i" 3.62748001184483 1.75302913121939 3.11617806731813 2.61123877167328 2.68755935422602 1.44284128745838 0.0352609308885755 0.179581574930412 0.0954745083062822 1.8887722980063 0.182266538007934
"a" 2.95063242945979 1.9979376127868 1.60694896851249 2.14121579277209 1.50997150997151 2.66370699223085 1.8688293370945 1.89458561551585 2.15772388772198 2.22105631339629 1.94060255173153
"in" 1.46579804560261 1.40500128899201 1.47665580890337 1.33695425109672 1.43399810066477 2.21975582685905 1.65726375176305 1.86764837927629 2.0622493794157 1.67890870933893 1.96204567385011
"was" 1.90151867676298 0.592936323794792 0.846905537459283 1.83831209525799 1.2630579297246 0.776914539400666 1.48095909732017 1.71500404058544 1.77582585449685 0.68205666316894 1.45813230406347
"he" 0.953932061423918 0.670275844289765 2.01954397394137 1.13850010444955 1.44349477682811 1.10987791342952 1.90409026798307 1.23013378827332 0.649226656482719 0.419727177334732 1.11504235016618
"it" 1.17813782308896 1.26321216808456 1.37893593919653 0.689367035721746 0.664767331433998 1.66481687014428 0.599435825105783 0.870970638412499 1.12659919801413 1.2591815320042 0.814838640506058
"that" 0.63665975718093 1.22454240783707 1.95439739413681 1.3682891163568 0.949667616334283 0.887902330743618 0.881523272214386 1.40073628445721 1.22207370632041 1.03182931094788 1.2115363996998
"had" 0.953932061423918 0.309358081979892 0.770901194353963 0.929601002715688 0.702754036087369 0.221975582685905 1.23413258110014 0.951782347131184 0.553752148176437 0.43721580972368 0.889889567921089
"as" 0.846059477981302 0.850734725444702 0.781758957654723 0.804261541675371 0.769230769230769 0.554938956714761 0.38787023977433 0.682409984735566 0.706511361466488 0.821965722280518 0.675458346735285
"on" 0.873556411015694 0.528486723382315 0.705754614549403 0.553582619594736 0.759734093067426 0.221975582685905 0.881523272214386 0.781179850947293 0.59194195149895 0.68205666316894 0.825560201565348
"for" 0.554168958077753 0.644496004124774 0.716612377850163 1.00271568832254 1.1301044634378 0.887902330743618 0.846262341325811 0.861991559665978 0.706511361466488 1.17173837005946 0.686179907794575
"but" 0.850289775371209 0.79917504511472 0.640608034744843 0.783371631501985 0.797720797720798 0.332963374028857 0.317348377997179 0.457933016072551 0.477372541531411 0.647079398391046 0.536078052964512
"not" 0.839714031896442 0.863624645527198 0.770901194353963 0.846041362022143 0.645773979107312 0.554938956714761 0.458392101551481 0.619556433509922 0.343708229902616 0.472193074501574 0.300203709660126
"were" 0.72761115106392 0.373807682392369 0.217155266015201 0.825151451848757 0.674264007597341 0.110987791342952 0.987306064880113 1.02361497710335 0.725606263127745 0.332284015389997 0.964940495336121
"at" 0.72126570497906 0.65738592420727 0.564603691639522 0.731146856068519 0.930674264007597 0.221975582685905 0.952045133991537 0.520786567298195 0.53465724651518 0.612102133613151 0.718344590972446
"his" 0.406108549431025 0.528486723382315 0.814332247557003 0.814706496762064 0.987654320987654 0.99889012208657 1.19887165021157 1.1313639220616 0.59194195149895 0.402238544945785 1.2115363996998
"they" 0.672617284995135 0.489816963134829 0.445168295331162 0.658032170461667 0.911680911680912 0.110987791342952 1.02256699576869 0.610577354763401 0.553752148176437 1.2242042672263 0.621850541438833
"me" 1.11891365963027 0.425367362722351 0.836047774158523 0.647587215374974 0.683760683760684 0.110987791342952 0 0.0538744724791236 0.0381898033225129 0.297306750612102 0.0428862442371609
"with" 0.566859850247472 0.902294405774684 0.857763300760043 0.689367035721746 0.560303893637227 0.665926748057714 0.493653032440056 0.763221693454252 0.553752148176437 0.839454354669465 0.739787713091026
"we" 0.395532805956259 1.58546017014695 0.390879478827362 1.68163776895759 1.01614434947768 0.221975582685905 0.0352609308885755 0.14366525994433 0.0954745083062822 0.419727177334732 0.278760587541546
"my" 0.801641355387284 0.348027842227378 0.564603691639522 0.898266137455609 0.835707502374169 0.221975582685905 0 0.0269372362395618 0.0190949016612564 0.507170339279468 0.0536078052964512
"by" 0.463217564194763 0.412477442639856 0.347448425624321 0.553582619594736 0.43684710351377 0.332963374028857 0.77574047954866 0.790158929693813 0.897460378079053 0.594613501224204 0.696901468853865
"be" 0.372266170311773 0.65738592420727 0.988056460369164 0.564027574681429 0.522317188983856 0.443951165371809 0.493653032440056 0.718326299721649 0.763796066450258 0.507170339279468 0.48247024766806
"him" 0.387072211176446 0.348027842227378 1.1400651465798 0.898266137455609 0.845204178537512 0.443951165371809 0.811001410437236 0.341204992367783 0.133664311628795 0.157397691500525 0.353811514956578
"from" 0.395532805956259 0.335137922144883 0.477741585233442 0.33423856277418 0.322886989553656 0.332963374028857 0.528913963328632 0.502828409805154 0.611036853160206 0.454704442112627 0.782673957328187
