"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 1.30750884545758 1.33056390732072 0.910705330757116 1.01973031193699 1.6435264313044 1.23288138023147 1.25384031364418 1.39744782987572 1.22963935422938 1.19449932764725
"EK-ourVisit" 1.30750884545758 0 0.860773054134982 0.994999963027762 1.08381949874299 1.20989604448291 1.4889529612482 0.995116741882049 1.12786326165205 0.866423822427593 1.10123021552044
"EK-suppressed" 1.33056390732072 0.860773054134982 0 1.09905310499317 1.08447134812148 1.43506968314347 1.42033136866239 1.14449862611743 1.22118402088491 1.12718878455984 1.21835859842766
"freedman-body1" 0.910705330757116 0.994999963027762 1.09905310499317 0 0.613832523490048 1.47785897969066 1.08110366986262 1.10056968471624 1.29080970370592 1.15362407328895 1.05089720684117
"freedman-body2" 1.01973031193699 1.08381949874299 1.08447134812148 0.613832523490048 0 1.54889078681285 1.12138214439085 1.20451143029236 1.3883597448273 1.13251529758992 1.13164221115549
"freedman-intro1" 1.6435264313044 1.20989604448291 1.43506968314347 1.47785897969066 1.54889078681285 0 1.56959461590829 1.10351161446126 1.22673232122144 1.14779682899606 1.10277277142893
"freedman-intro2" 1.23288138023147 1.4889529612482 1.42033136866239 1.08110366986262 1.12138214439085 1.56959461590829 0 1.0252040874849 1.15995723187551 1.36397764489177 0.917151744596566
"TWH-denmark" 1.25384031364418 0.995116741882049 1.14449862611743 1.10056968471624 1.20451143029236 1.10351161446126 1.0252040874849 0 0.588287896790914 0.905372019095119 0.527054394719967
"TWH-gabriel" 1.39744782987572 1.12786326165205 1.22118402088491 1.29080970370592 1.3883597448273 1.22673232122144 1.15995723187551 0.588287896790914 0 0.92884141739149 0.70117437104815
"TWH-leaves" 1.22963935422938 0.866423822427593 1.12718878455984 1.15362407328895 1.13251529758992 1.14779682899606 1.36397764489177 0.905372019095119 0.92884141739149 0 0.8901394795929
"TWH-nat_turner" 1.19449932764725 1.10123021552044 1.21835859842766 1.05089720684117 1.13164221115549 1.10277277142893 0.917151744596566 0.527054394719967 0.70117437104815 0.8901394795929 0
