"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 0.965505122008467 1.35296730969762 0.867255027491209 0.92274719076968 1.51766494693202 1.46216896728297 1.23291385510895 1.32291048179383 1.12993622207142 1.22625054987
"EK-ourVisit" 0.965505122008467 0 1.02936580296924 0.786563097775777 0.993008530841956 1.21577331556773 1.63807449214429 1.14386311005839 1.15567362872664 0.746200312059675 1.20360632323046
"EK-suppressed" 1.35296730969762 1.02936580296924 0 1.07490433862314 1.09188610390373 1.63840773019442 1.57717714401863 1.33109216776887 1.50715607543255 1.20316791056655 1.48687621804804
"freedman-body1" 0.867255027491209 0.786563097775777 1.07490433862314 0 0.540028446594461 1.56221960538653 1.33576549293147 1.05914342505742 1.36812232298054 1.12137570771274 1.17926589996539
"freedman-body2" 0.92274719076968 0.993008530841956 1.09188610390373 0.540028446594461 0 1.52524411478703 1.11321317553813 1.1873370389291 1.49259945744596 1.06330805166637 1.23849932299315
"freedman-intro1" 1.51766494693202 1.21577331556773 1.63840773019442 1.56221960538653 1.52524411478703 0 1.44215681815435 1.12351044312593 1.15367324358535 1.16206722801137 1.18243299814316
"freedman-intro2" 1.46216896728297 1.63807449214429 1.57717714401863 1.33576549293147 1.11321317553813 1.44215681815435 0 0.755303010857073 1.10741886183386 1.36529986346947 0.789590150076408
"TWH-denmark" 1.23291385510895 1.14386311005839 1.33109216776887 1.05914342505742 1.1873370389291 1.12351044312593 0.755303010857073 0 0.618761647754117 1.1076025209625 0.460834354005701
"TWH-gabriel" 1.32291048179383 1.15567362872664 1.50715607543255 1.36812232298054 1.49259945744596 1.15367324358535 1.10741886183386 0.618761647754117 0 1.02248596660423 0.68212308409124
"TWH-leaves" 1.12993622207142 0.746200312059675 1.20316791056655 1.12137570771274 1.06330805166637 1.16206722801137 1.36529986346947 1.1076025209625 1.02248596660423 0 1.02566275171001
"TWH-nat_turner" 1.22625054987 1.20360632323046 1.48687621804804 1.17926589996539 1.23849932299315 1.18243299814316 0.789590150076408 0.460834354005701 0.68212308409124 1.02566275171001 0
