"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 1.28476913933414 1.30602683078416 0.919304813211637 0.989113301039531 1.64091872505862 1.22203952616349 1.2232626365044 1.32236344974412 1.16633086066743 1.19188499347105
"EK-ourVisit" 1.28476913933414 0 0.891683521253955 1.06300323845939 1.13400436267464 1.29201152804271 1.54573999017399 1.02628714032942 1.05450447442583 0.834751996326993 1.15956077869677
"EK-suppressed" 1.30602683078416 0.891683521253955 0 1.15063797202402 1.0861819877775 1.46043295535082 1.50522762959932 1.11508131430542 1.16039428471663 1.11616918066276 1.23243086618154
"freedman-body1" 0.919304813211637 1.06300323845939 1.15063797202402 0 0.618472857963374 1.56467956865036 1.1022706420402 1.09691677742104 1.30593694513124 1.17053950431466 1.10937157432189
"freedman-body2" 0.989113301039531 1.13400436267464 1.0861819877775 0.618472857963374 0 1.58793390194485 1.06558374094455 1.17310061961458 1.3696653208413 1.14112650910823 1.15060286977973
"freedman-intro1" 1.64091872505862 1.29201152804271 1.46043295535082 1.56467956865036 1.58793390194485 0 1.56735578110648 1.19866666111704 1.22135660225487 1.19271067238566 1.16342655024467
"freedman-intro2" 1.22203952616349 1.54573999017399 1.50522762959932 1.1022706420402 1.06558374094455 1.56735578110648 0 0.965592243759319 1.13416188354817 1.32365449408502 0.844226846435042
"TWH-denmark" 1.2232626365044 1.02628714032942 1.11508131430542 1.09691677742104 1.17310061961458 1.19866666111704 0.965592243759319 0 0.509373820740737 0.87585457877001 0.521346138806536
"TWH-gabriel" 1.32236344974412 1.05450447442583 1.16039428471663 1.30593694513124 1.3696653208413 1.22135660225487 1.13416188354817 0.509373820740737 0 0.838470775787342 0.610874673425829
"TWH-leaves" 1.16633086066743 0.834751996326993 1.11616918066276 1.17053950431466 1.14112650910823 1.19271067238566 1.32365449408502 0.87585457877001 0.838470775787342 0 0.860428818368434
"TWH-nat_turner" 1.19188499347105 1.15956077869677 1.23243086618154 1.10937157432189 1.15060286977973 1.16342655024467 0.844226846435042 0.521346138806536 0.610874673425829 0.860428818368434 0
