"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 0.902217438480025 1.35282668439964 0.858536602282115 1.05807201656942 1.76963008546435 1.57488964554836 1.26667200746576 1.32503793093851 1.18427423995239 1.23390295459408
"EK-ourVisit" 0.902217438480025 0 0.95646166453798 0.796626212286014 1.0131919180056 1.32130427869232 1.67085755536111 1.2317296753632 1.05033091087753 0.615267017983833 1.17707809022648
"EK-suppressed" 1.35282668439964 0.95646166453798 0 0.993059479527844 0.997287631087731 1.68035455261333 1.466119833953 1.29473257833219 1.38548448800207 1.07259090750822 1.35133978344595
"freedman-body1" 0.858536602282115 0.796626212286014 0.993059479527844 0 0.587976394312733 1.69339873778359 1.30821511625158 0.934619377461639 1.23325486912255 1.06708193628271 1.04580530286736
"freedman-body2" 1.05807201656942 1.0131919180056 0.997287631087731 0.587976394312733 0 1.6831704385172 1.11879247006425 1.07042023700927 1.45640506555384 1.03146222612277 1.10180578797446
"freedman-intro1" 1.76963008546435 1.32130427869232 1.68035455261333 1.69339873778359 1.6831704385172 0 1.58872928958651 1.1941096819232 1.14286594615307 1.22035240961531 1.33007378980124
"freedman-intro2" 1.57488964554836 1.67085755536111 1.466119833953 1.30821511625158 1.11879247006425 1.58872928958651 0 0.786728468459113 1.30766621877791 1.54728230882366 0.786021713309348
"TWH-denmark" 1.26667200746576 1.2317296753632 1.29473257833219 0.934619377461639 1.07042023700927 1.1941096819232 0.786728468459113 0 0.710135067580838 1.21566820949577 0.43162417657704
"TWH-gabriel" 1.32503793093851 1.05033091087753 1.38548448800207 1.23325486912255 1.45640506555384 1.14286594615307 1.30766621877791 0.710135067580838 0 0.957741454589179 0.673554404208864
"TWH-leaves" 1.18427423995239 0.615267017983833 1.07259090750822 1.06708193628271 1.03146222612277 1.22035240961531 1.54728230882366 1.21566820949577 0.957741454589179 0 1.11142149113294
"TWH-nat_turner" 1.23390295459408 1.17707809022648 1.35133978344595 1.04580530286736 1.10180578797446 1.33007378980124 0.786021713309348 0.43162417657704 0.673554404208864 1.11142149113294 0
