"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 1.15728152573276 1.38077200612974 0.888917406688182 0.963282432833967 1.64383478929641 1.25929977088419 1.16726772043612 1.28498200116613 1.21406786000515 1.17309980139033
"EK-ourVisit" 1.15728152573276 0 0.953669354595356 0.931100058641067 1.03554242412126 1.37211695544672 1.62076618998384 1.09568853194815 1.05485359172611 0.797115069241346 1.171030662947
"EK-suppressed" 1.38077200612974 0.953669354595356 0 1.0304274031618 1.04932828150596 1.6129573733299 1.45550704333496 1.284515922053 1.39763443345455 1.25396325421683 1.34644095580656
"freedman-body1" 0.888917406688182 0.931100058641067 1.0304274031618 0 0.545327376683343 1.55384471808181 1.17521248063373 1.02819903539851 1.30563763751083 1.13947746466704 1.0672454564766
"freedman-body2" 0.963282432833967 1.03554242412126 1.04932828150596 0.545327376683343 0 1.62414107203132 1.06768968687454 1.11142621691144 1.38186062062518 1.13959557087499 1.1676090358942
"freedman-intro1" 1.64383478929641 1.37211695544672 1.6129573733299 1.55384471808181 1.62414107203132 0 1.53081204866376 1.25301626365112 1.26204414511405 1.19654376779662 1.18427610831882
"freedman-intro2" 1.25929977088419 1.62076618998384 1.45550704333496 1.17521248063373 1.06768968687454 1.53081204866376 0 0.803145306314478 1.09540871796597 1.38676980288219 0.799866858899248
"TWH-denmark" 1.16726772043612 1.09568853194815 1.284515922053 1.02819903539851 1.11142621691144 1.25301626365112 0.803145306314478 0 0.557872704011693 1.06236140039985 0.48137032625915
"TWH-gabriel" 1.28498200116613 1.05485359172611 1.39763443345455 1.30563763751083 1.38186062062518 1.26204414511405 1.09540871796597 0.557872704011693 0 0.961479730033244 0.654197976678559
"TWH-leaves" 1.21406786000515 0.797115069241346 1.25396325421683 1.13947746466704 1.13959557087499 1.19654376779662 1.38676980288219 1.06236140039985 0.961479730033244 0 0.969306399670356
"TWH-nat_turner" 1.17309980139033 1.171030662947 1.34644095580656 1.0672454564766 1.1676090358942 1.18427610831882 0.799866858899248 0.48137032625915 0.654197976678559 0.969306399670356 0
