"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 1.19640393671348 1.24908039212147 0.933148144475192 0.977155278085446 1.68680508231222 1.25785217870161 1.22274205945424 1.29098069068881 1.15250134047835 1.19285206052242
"EK-ourVisit" 1.19640393671348 0 0.892715705097638 0.923827459088257 1.15668325283538 1.39117451024865 1.56304368032797 1.06399980168105 1.0621118990253 0.867556213385948 1.1874206003579
"EK-suppressed" 1.24908039212147 0.892715705097638 0 1.0327516724849 1.08251872806608 1.52032926628359 1.43879261255643 1.1614504206981 1.18815335375864 1.16491924963161 1.24925627610856
"freedman-body1" 0.933148144475192 0.923827459088257 1.0327516724849 0 0.609475007723741 1.54772069537971 1.15553788975839 1.06224020115187 1.25818194013736 1.13186687672444 1.10227123893998
"freedman-body2" 0.977155278085446 1.15668325283538 1.08251872806608 0.609475007723741 0 1.60599983812488 1.05032391460711 1.17934518639316 1.36972026944231 1.15151637847616 1.13866332402219
"freedman-intro1" 1.68680508231222 1.39117451024865 1.52032926628359 1.54772069537971 1.60599983812488 0 1.52915876029496 1.24799104638815 1.30447815797713 1.28313152105512 1.22837542034615
"freedman-intro2" 1.25785217870161 1.56304368032797 1.43879261255643 1.15553788975839 1.05032391460711 1.52915876029496 0 0.851648417537578 1.01606733248536 1.32586060366436 0.759192044501196
"TWH-denmark" 1.22274205945424 1.06399980168105 1.1614504206981 1.06224020115187 1.17934518639316 1.24799104638815 0.851648417537578 0 0.506924913784986 1.00094582409965 0.54197100915363
"TWH-gabriel" 1.29098069068881 1.0621118990253 1.18815335375864 1.25818194013736 1.36972026944231 1.30447815797713 1.01606733248536 0.506924913784986 0 0.961105414058501 0.621902106913397
"TWH-leaves" 1.15250134047835 0.867556213385948 1.16491924963161 1.13186687672444 1.15151637847616 1.28313152105512 1.32586060366436 1.00094582409965 0.961105414058501 0 0.920357781568525
"TWH-nat_turner" 1.19285206052242 1.1874206003579 1.24925627610856 1.10227123893998 1.13866332402219 1.22837542034615 0.759192044501196 0.54197100915363 0.621902106913397 0.920357781568525 0
