"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 1.19374263280128 1.27071985781004 0.943076532335418 0.962098335445278 1.62539532121194 1.2452475933914 1.16453045907131 1.26700224269318 1.21164299444007 1.13801623805101
"EK-ourVisit" 1.19374263280128 0 0.926025211468611 0.957601452781259 1.12146918817732 1.34959235771491 1.62106232822998 1.07366143783079 1.06780982131259 0.897766164492483 1.18624192916503
"EK-suppressed" 1.27071985781004 0.926025211468611 0 1.03781130143632 1.03036646268044 1.55515682109531 1.47437173745491 1.23574433401663 1.28675734605706 1.26385721428162 1.28309346336285
"freedman-body1" 0.943076532335418 0.957601452781259 1.03781130143632 0 0.566588582588262 1.53168266831662 1.18521193431761 1.04684488333742 1.2847373122016 1.18431797844452 1.10969433500393
"freedman-body2" 0.962098335445278 1.12146918817732 1.03036646268044 0.566588582588262 0 1.5861567888768 1.1109011559413 1.13239343657725 1.35274340937175 1.19038331311693 1.18312820540436
"freedman-intro1" 1.62539532121194 1.34959235771491 1.55515682109531 1.53168266831662 1.5861567888768 0 1.52931597481588 1.26473084603056 1.28471624581544 1.21183075306044 1.19956827990646
"freedman-intro2" 1.2452475933914 1.62106232822998 1.47437173745491 1.18521193431761 1.1109011559413 1.52931597481588 0 0.864777119956422 1.06877028385317 1.37304807984078 0.818802950318128
"TWH-denmark" 1.16453045907131 1.07366143783079 1.23574433401663 1.04684488333742 1.13239343657725 1.26473084603056 0.864777119956422 0 0.538652424690627 0.97768336617494 0.500797958500303
"TWH-gabriel" 1.26700224269318 1.06780982131259 1.28675734605706 1.2847373122016 1.35274340937175 1.28471624581544 1.06877028385317 0.538652424690627 0 0.966284087944469 0.606571225430131
"TWH-leaves" 1.21164299444007 0.897766164492483 1.26385721428162 1.18431797844452 1.19038331311693 1.21183075306044 1.37304807984078 0.97768336617494 0.966284087944469 0 0.936967990468138
"TWH-nat_turner" 1.13801623805101 1.18624192916503 1.28309346336285 1.10969433500393 1.18312820540436 1.19956827990646 0.818802950318128 0.500797958500303 0.606571225430131 0.936967990468138 0
