"EK-adrift" "EK-ourVisit" "EK-suppressed" "freedman-body1" "freedman-body2" "freedman-intro1" "freedman-intro2" "TWH-denmark" "TWH-gabriel" "TWH-leaves" "TWH-nat_turner"
"EK-adrift" 0 0.983494184549406 1.54554975973472 0.874321412168729 1.11168980402651 1.48054761115256 1.59533817255527 1.25624027560152 1.44132126602355 1.20076807692581 1.30379543086947
"EK-ourVisit" 0.983494184549406 0 1.06386693512486 0.841837581105575 0.915046295681229 1.18258989571532 1.32952209788478 1.08460946815999 1.24134760618278 0.422432588442413 1.0143475182281
"EK-suppressed" 1.54554975973472 1.06386693512486 0 1.1484540576555 0.920088195996934 1.85371933933485 1.16412110728705 1.64703232862465 1.83491370260722 1.16233717884867 1.57651445406434
"freedman-body1" 0.874321412168729 0.841837581105575 1.1484540576555 0 0.480377207758278 1.70570289002806 1.11720663778806 1.02808051746204 1.45927317834764 1.11554385747092 1.06655897499243
"freedman-body2" 1.11168980402651 0.915046295681229 0.920088195996934 0.480377207758278 0 1.82739276064055 1.05290196302565 1.17793459485427 1.78731309159435 1.23723372808341 1.17169860686458
"freedman-intro1" 1.48054761115256 1.18258989571532 1.85371933933485 1.70570289002806 1.82739276064055 0 1.61661662811278 1.04456519796509 1.03700434201338 1.09978298751001 1.04417725313719
"freedman-intro2" 1.59533817255527 1.32952209788478 1.16412110728705 1.11720663778806 1.05290196302565 1.61661662811278 0 0.666236697376652 1.22797367866527 1.41201951582837 0.735506348330189
"TWH-denmark" 1.25624027560152 1.08460946815999 1.64703232862465 1.02808051746204 1.17793459485427 1.04456519796509 0.666236697376652 0 0.627511685028211 1.18754192983521 0.333493082116423
"TWH-gabriel" 1.44132126602355 1.24134760618278 1.83491370260722 1.45927317834764 1.78731309159435 1.03700434201338 1.22797367866527 0.627511685028211 0 1.08898647414731 0.663710796595521
"TWH-leaves" 1.20076807692581 0.422432588442413 1.16233717884867 1.11554385747092 1.23723372808341 1.09978298751001 1.41201951582837 1.18754192983521 1.08898647414731 0 0.950094350793332
"TWH-nat_turner" 1.30379543086947 1.0143475182281 1.57651445406434 1.06655897499243 1.17169860686458 1.04417725313719 0.735506348330189 0.333493082116423 0.663710796595521 0.950094350793332 0
